"","tcga.dataset","B-cells","DC","Macrophages","Exhausted CD8","T-cells","CD8 T cells","Neutrophils","Cytotoxic cells","Treg","NK CD56dim cells","Mast cells","NK cells","CD45","Th1 cells"
"TCGA.OR.A5JA.01A.11R.A29S.07","ACC",0.800096891414668,2.66029211918218,7.37914848537774,3.4260176814786,1.81294512356428,1.96595393842571,3.24450591983641,2.24225984261768,4.13935488693144,2.78913171634985,4.48661556076587,0.803703677079972,5.53774645066065,0
"TCGA.OR.A5J8.01A.11R.A29S.07","ACC",1.88166442700298,9.14895204316478,11.5443891399089,6.51402665925294,6.03261847418811,8.0814379360401,4.80264299637076,6.81879929208095,5.44798576503477,2.03005188386404,5.4749614018877,2.80965487912548,9.31170268380288,5.52894632083298
"TCGA.P6.A5OF.01A.11R.A29S.07","ACC",0.854275224281343,3.44290130711782,7.26389447123428,3.25372581242606,1.74148213647709,2.75418435359038,3.89240104157694,2.8150246891437,3.44188181239293,0.866538938637266,1.56230647714611,0.373273650707292,6.6710031622864,1.56335340585531
"TCGA.OR.A5KY.01A.11R.A29S.07","ACC",0.295872995671465,2.5505487507123,8.03089689577588,4.00295592631272,2.32332413776962,4.14334999567236,3.17090079966559,2.97965687925309,2.94953493301701,1.73177513904796,2.11200798716778,0.17625711068247,6.93435137007435,1.68419036649602
"TCGA.OR.A5J2.01A.11R.A29S.07","ACC",1.65668334789896,5.88565902135456,7.78852617128977,3.62871005408903,3.92796791754397,4.4383282144704,2.08594457650402,3.34534946493135,4.04239044276185,1.97997918528206,4.50000589154888,0.325402422082384,7.5439025893825,0.852238600297369
"TCGA.OR.A5JJ.01A.11R.A29S.07","ACC",2.17787987512368,3.97253540241833,6.21175443121315,4.26932218542595,4.0483010927816,5.65207338223021,1.81056416427507,4.73497458578091,4.39996401628169,1.38978403850953,3.34915486420755,1.63364072384869,6.46696964604193,2.85742370873231
"TCGA.OR.A5LH.01A.11R.A29S.07","ACC",0.840166160424344,5.23152278286077,7.3734056151814,3.75683230051572,3.77708869919309,4.97609827084034,3.31531995196362,5.1500086223369,1.92489799411221,2.42335211038394,1.93787704976215,2.24920325420084,6.46045261978063,3.59863913890855
"TCGA.OR.A5J5.01A.11R.A29S.07","ACC",1.62793763174461,1.91730236333681,6.38104861794446,3.28316405216157,1.80672983083797,2.85355753740481,1.86171774679818,3.93010570813498,4.37357165529749,0.846955330487131,2.96712849178841,0.275831291201266,5.36733262122776,2.99481502542171
"TCGA.OR.A5L5.01A.11R.A29S.07","ACC",3.16882887855482,7.54373719759065,8.39720418405348,5.77044532174538,4.80298425260339,6.23481181362034,2.86184280586047,6.45595079609349,2.57773093149008,2.67412939855399,9.22320826962962,3.92000640511236,8.29937288839956,5.1459790039982
"TCGA.OR.A5JL.01A.11R.A29S.07","ACC",1.3354605637946,3.88843691275899,7.76539843821022,3.48609728068996,2.49891966324232,3.19538708661981,2.4998865324775,4.01358611777904,2.52586842344018,2.09589697135153,2.7400599516201,0.608097927072162,6.83573842140355,2.38634192539018
"TCGA.OR.A5LJ.01A.11R.A29S.07","ACC",0.864401946528214,1.89332108832268,6.56544958890129,4.39949814090904,4.99781411781735,6.72557823771131,2.30091393626905,4.54189056266358,4.70260213929171,1.08977505778473,1.7365653534375,0.777566386197126,7.29972821080471,3.40116623944929
"TCGA.OR.A5JF.01A.11R.A29S.07","ACC",0.547403408699495,2.43950893834923,5.59317464515597,4.04852715569502,1.74612351685218,2.35371191426547,1.71741621338303,2.55423663665114,2.39270209016962,0.792513308825576,1.44182948946651,0.275207610605227,4.49976298951692,1.88869454950954
